Date	Time	Relative time [s]	FIC-104 setpt [sl/min]	FIC-104 [sl/min]	FIC-105 setpt [sl/min]	FIC-105 [sl/min]	FIC-106 setpt [sl/min]	FIC-106 [sl/min]	CV-101 setpt [l/min]	FI-101 [l/min]	CV-102 setpt [l/min]	FI-102 [l/min]	CV-103 setpt [l/min]	FI-103 [l/min]	dP-101 [mbar D]	dP-102 [mbar D]	dP-103 [mbar D]	CV-107 setpt [mbar G]	PI-101 [mbar G]	CV-108 setpt [mbar G]	PI-102 [mbar G]	CV-109 setpt [mbar G]	PI-103 [mbar G]	Pump output pressure setpt [bar G]	PI-104 [bar G]	TI-101 [°C]	TI-102 [°C]	TI-103 [°C]	CV-101 current [A]	CV-102 current [A]	CV-103 current [A]	CV-107 current [A]	CV-108 current [A]	CV-109 current [A]	Pump ctrl current [A]
08.07.2021	10:02:30	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	13,4177	5,0000	5,0212	9,0000	9,0079	50,2000	6,9585	27,9959	0,0211	17,0000	0,0211	6,0000	0,0211	12,0000	0,0000	0,4864	21,1525	22,7628	21,9875	0,0104	0,0049	0,0084	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:31	2,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	13,3455	5,0000	5,1247	9,0000	8,9316	54,8000	5,8585	28,0959	0,0211	19,0000	0,0211	4,0000	0,0211	10,0000	0,0000	0,4676	21,1498	22,7608	21,9807	0,0104	0,0049	0,0084	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:32	3,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,8226	5,0000	4,7758	9,0000	8,8768	54,8000	5,8585	28,0959	0,0211	19,0000	0,0211	4,0000	0,0211	10,0000	0,0000	0,4790	21,1478	22,7618	21,9796	0,0104	0,0049	0,0084	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:33	4,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	13,5478	5,0000	4,8025	9,0000	9,0172	54,2000	6,1585	27,8959	0,0211	20,0000	0,0211	5,0000	0,0211	11,0000	0,0000	0,4827	21,1547	22,7621	21,9738	0,0103	0,0050	0,0084	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:34	5,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	13,3004	5,0000	4,8583	9,0000	9,1545	54,2000	6,1585	27,8959	0,0211	20,0000	0,0211	5,0000	0,0211	11,0000	0,0000	0,4811	21,1534	22,7666	21,9715	0,0103	0,0050	0,0084	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:35	6,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,8123	5,0000	4,8542	9,0000	8,7333	52,7000	5,8585	28,1959	0,0211	18,0000	0,0211	3,0000	0,0211	11,0000	0,0000	0,4700	21,1585	22,7684	21,9692	0,0104	0,0050	0,0085	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:36	7,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	13,1411	5,0000	4,7927	9,0000	9,1540	51,8000	5,4585	28,1959	0,0211	18,0000	0,0211	3,0000	0,0211	10,0000	0,0000	0,4769	21,1628	22,7710	21,9724	0,0103	0,0050	0,0084	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:37	8,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,5542	5,0000	4,8665	9,0000	8,8911	51,8000	5,4585	28,1959	0,0211	18,0000	0,0211	3,0000	0,0211	10,0000	0,0000	0,4788	21,1629	22,7730	21,9676	0,0105	0,0050	0,0084	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:38	9,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,8451	5,0000	5,0479	9,0000	9,1360	52,2000	6,1585	27,0959	0,0211	18,0000	0,0211	5,0000	0,0211	11,0000	0,0000	0,4802	21,1675	22,7832	21,9681	0,0105	0,0050	0,0084	0,0200	0,0200	0,0200	0,0127
08.07.2021	10:02:39	10,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,7544	5,0000	5,0955	9,0000	8,9885	51,1000	6,1585	27,1959	0,0211	18,0000	0,0211	4,0000	0,0211	11,0000	0,0000	0,4766	21,1632	22,7842	21,9721	0,0105	0,0050	0,0084	0,0200	0,0200	0,0200	0,0127
