Date	Time	Relative time [s]	FIC-104 setpt [sl/min]	FIC-104 [sl/min]	FIC-105 setpt [sl/min]	FIC-105 [sl/min]	FIC-106 setpt [sl/min]	FIC-106 [sl/min]	CV-101 setpt [l/min]	FI-101 [l/min]	CV-102 setpt [l/min]	FI-102 [l/min]	CV-103 setpt [l/min]	FI-103 [l/min]	dP-101 [mbar D]	dP-102 [mbar D]	dP-103 [mbar D]	CV-107 setpt [mbar G]	PI-101 [mbar G]	CV-108 setpt [mbar G]	PI-102 [mbar G]	CV-109 setpt [mbar G]	PI-103 [mbar G]	Pump output pressure setpt [bar G]	PI-104 [bar G]	TI-101 [°C]	TI-102 [°C]	TI-103 [°C]	CV-101 current [A]	CV-102 current [A]	CV-103 current [A]	CV-107 current [A]	CV-108 current [A]	CV-109 current [A]	Pump ctrl current [A]
09.07.2021	10:16:01	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,3555	5,0000	5,1063	5,0000	4,9783	8,2000	6,9585	11,5959	0,0211	3,0000	0,0211	3,0000	0,0211	4,0000	0,0000	0,4805	19,0481	20,5852	19,9936	0,0050	0,0050	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:02	2,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,0201	5,0000	4,9516	5,0000	4,8691	10,6000	5,9585	10,7959	0,0211	4,0000	0,0211	4,0000	0,0211	6,0000	0,0000	0,4830	19,0004	20,5325	19,9325	0,0050	0,0050	0,0056	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:03	3,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2111	5,0000	4,9326	5,0000	5,0951	10,7000	6,4585	9,2959	0,0211	5,0000	0,0211	4,0000	0,0211	6,0000	0,0000	0,4889	18,9482	20,4837	19,8732	0,0050	0,0050	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:04	4,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2910	5,0000	5,1883	5,0000	5,1863	10,7000	6,4585	9,2959	0,0211	5,0000	0,0211	4,0000	0,0211	6,0000	0,0000	0,4846	18,8850	20,4327	19,8207	0,0049	0,0049	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:05	5,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,0457	5,0000	5,2856	5,0000	4,9624	8,4000	6,2585	11,1959	0,0211	3,0000	0,0211	3,0000	0,0211	6,0000	0,0000	0,4844	18,8360	20,3769	19,7621	0,0050	0,0049	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:06	6,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,0395	5,0000	4,9746	5,0000	4,7959	10,3000	5,7585	10,5959	0,0211	4,0000	0,0211	3,0000	0,0211	5,0000	0,0000	0,4944	18,7797	20,3202	19,7036	0,0050	0,0049	0,0056	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:07	7,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2367	5,0000	4,9736	5,0000	4,9916	10,3000	5,7585	10,5959	0,0211	4,0000	0,0211	3,0000	0,0211	5,0000	0,0000	0,4913	18,7309	20,2694	19,6505	0,0049	0,0049	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:08	8,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9863	5,0000	5,1601	5,0000	5,3816	9,0000	7,1585	11,2959	0,0211	3,0000	0,0211	4,0000	0,0211	5,0000	0,0000	0,4903	18,6858	20,2183	19,5970	0,0049	0,0049	0,0054	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:09	9,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,0605	5,0000	5,1780	5,0000	4,9798	8,3000	6,3585	11,2959	0,0211	3,0000	0,0211	3,0000	0,0211	5,0000	0,0000	0,4914	18,6367	20,1630	19,5422	0,0049	0,0049	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:10	10,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9996	5,0000	4,9992	5,0000	5,1582	8,3000	6,3585	11,2959	0,0211	3,0000	0,0211	3,0000	0,0211	5,0000	0,0000	0,4780	18,5839	20,1047	19,4841	0,0049	0,0049	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:11	11,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9730	5,0000	5,1063	5,0000	5,0603	10,7000	6,1585	10,4959	0,0211	4,0000	0,0211	3,0000	0,0211	5,0000	0,0000	0,4918	18,5279	20,0472	19,4323	0,0049	0,0049	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:12	12,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,3817	5,0000	4,5673	5,0000	5,1377	10,7000	6,1585	10,4959	0,0211	4,0000	0,0211	3,0000	0,0211	5,0000	0,0000	0,4850	18,4652	19,9901	19,3759	0,0048	0,0050	0,0054	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:13	13,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9299	5,0000	5,3568	5,0000	5,2565	8,3000	6,7585	11,3959	0,0211	3,0000	0,0211	3,0000	0,0211	4,0000	0,0000	0,4943	18,4111	19,9334	19,3203	0,0049	0,0048	0,0054	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:14	14,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2736	5,0000	4,8368	5,0000	5,1243	10,4000	5,6585	10,6959	0,0211	3,0000	0,0211	3,0000	0,0211	5,0000	0,0000	0,4860	18,3612	19,8728	19,2659	0,0048	0,0049	0,0054	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:15	15,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,6357	5,0000	5,0151	5,0000	4,9209	10,4000	5,6585	10,6959	0,0211	3,0000	0,0211	3,0000	0,0211	5,0000	0,0000	0,4913	18,3115	19,8184	19,2104	0,0047	0,0049	0,0054	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:16	16,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,1215	5,0000	4,8885	5,0000	5,1976	8,8000	7,2585	11,1959	0,0211	3,0000	0,0211	3,0000	0,0211	4,0000	0,0000	0,4853	18,2501	19,7614	19,1552	0,0048	0,0049	0,0054	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:17	17,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9130	5,0000	5,3220	5,0000	5,0239	8,8000	7,2585	11,1959	0,0211	3,0000	0,0211	3,0000	0,0211	4,0000	0,0000	0,4930	18,2082	19,6999	19,0976	0,0048	0,0048	0,0054	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:18	18,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2126	5,0000	5,0407	5,0000	5,1284	9,1000	5,5585	10,2959	0,0211	4,0000	0,0211	5,0000	0,0211	5,0000	0,0000	0,4848	18,1501	19,6448	19,0362	0,0047	0,0049	0,0054	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:19	19,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,8828	5,0000	5,1883	5,0000	4,3711	9,1000	5,5585	10,2959	0,0211	4,0000	0,0211	5,0000	0,0211	5,0000	0,0000	0,4942	18,1020	19,5857	18,9818	0,0048	0,0048	0,0055	0,0200	0,0200	0,0200	0,0127
09.07.2021	10:16:20	20,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,4160	5,0000	4,8440	5,0000	4,8451	9,1000	6,3585	9,2959	0,0211	4,0000	0,0211	4,0000	0,0211	5,0000	0,0000	0,4921	18,0466	19,5340	18,9241	0,0047	0,0049	0,0055	0,0200	0,0200	0,0200	0,0127
